ActualPower;Max Capacity;Location 1;Location 3;Location 5;Location 7
3.742;45;2.9;4.442;4.495;4.681
3.51;45;3.5;4.281;4.335;4.522
3.652;45;4;4.096;4.153;4.341
3.881;45;4.2;3.905;3.96;4.143
4.135;45;2.9;3.725;3.773;3.948
3.531;45;5;3.539;3.578;3.741
1.899;45;5.8;3.369;3.4;3.543
1.219;45;6.1;3.118;3.145;3.253
1.195;45;5.1;2.824;2.852;2.936
1.146;45;5.2;2.692;2.73;2.8
0.804;45;6.1;2.553;2.606;2.677
0.407;45;6.1;2.365;2.443;2.535
0.138;45;5.5;0.964;1.144;1.244
0.709;45;5.1;1.079;1.308;1.404
1.062;45;4.8;1.148;1.386;1.506
0.884;45;4.7;0.468;0.14;0.046
0.763;45;4.9;0.486;0.177;0.164
0.378;45;4.1;0.451;0.27;0.309
0.53;45;3.9;0.446;;0.416
0.676;45;4.1;0.538;0.396;0.524
0.73;45;3.1;0.662;0.437;0.603
0.819;45;3.5;0.777;0.499;0.681
0.857;45;2.5;0.884;0.609;0.806
0.982;45;0.1;0.93;0.679;0.887
1.053;45;0.4;0.943;0.728;0.928
1.04;45;1.5;0.91;0.72;0.906
1.229;45;1.1;0.826;0.636;0.783
1.17;45;0;0.694;0.496;0.591
1.649;;0.7;0.505;0.307;0.384
2.519;45;2.1;0.328;0.124;0.284
2.768;45;1.7;0.277;0.14;0.344
3.581;45;2.7;0.293;0.33;0.541
3.987;45;1.9;0.431;0.588;0.831
4.427;45;2.9;0.671;0.872;1.119
4.001;45;2.6;0.992;1.237;
4.512;45;3;1.389;1.644;1.894
4.252;45;3.5;1.749;2.095;2.158
4.474;45;3.3;1.966;2.349;2.35
6.454;45;3.3;2.165;2.583;2.556
9.429;45;4.2;2.619;3.179;3.047
10.861;45;3.1;2.918;3.455;3.281
14.859;45;3.7;3.311;3.735;3.522
20.151;45;3.4;3.761;4.011;3.733
18.865;45;3.5;3.976;4.151;3.868
15.237;45;3.5;4.06;4.142;3.865
15.708;45;3.8;4.085;4.08;3.788
16.776;45;3.9;4.118;4.063;3.743
16.471;45;3.5;4.222;4.154;3.831
18.873;45;4;4.401;4.32;4.063
22.816;45;4.6;4.61;4.496;4.368
23.736;45;3.9;4.815;4.658;4.568
27.303;45;3.4;5.074;4.878;4.768
21.592;45;;5.426;;5.073
20.7;45;6.1;5.768;5.616;5.46
24.131;45;7.2;5.995;5.923;5.841
24.359;45;6.6;6.098;6.098;6.137
20.755;45;7.6;6.146;6.186;6.326
18.081;45;7.4;6.202;6.258;6.445
14.496;45;7.9;6.274;6.338;6.54
8.407;45;6;6.356;6.427;6.627
9.119;45;6.6;6.452;6.526;6.708
9.018;45;7.5;6.575;6.638;6.783
8.678;45;7.7;6.727;6.762;6.859
10.143;45;7.3;6.881;6.877;6.928
12.966;45;7.4;6.985;6.949;6.963
12.504;45;7.9;7.034;6.98;6.977
11.835;45;8.1;7.035;6.977;6.975
12.391;45;6.8;7.022;6.976;6.993
13.4;45;7.8;7.024;6.992;7.039
14.854;45;8.7;7.028;7.006;7.082
11.948;45;8.4;7.043;7.031;7.131
10.821;45;8.3;7.079;7.074;7.187
8.582;45;7.4;7.131;7.143;7.256
;45;6.7;6.731;6.821;6.986
4.721;45;6.2;6.713;6.701;6.822
3.603;45;8.9;7.138;7.156;7.143
3.454;45;7.9;7.251;7.274;7.291
3.123;45;5.7;7.357;7.374;7.407
3.138;45;5.4;7.397;7.424;7.456
3.741;45;6;7.434;7.438;7.457
3.815;45;6.8;7.508;7.494;7.501
5.425;45;6.8;7.597;7.566;7.568
4.621;45;5.8;7.708;7.668;7.673
4.327;45;5.7;7.789;7.757;7.775
4.144;45;6.6;7.843;7.824;7.859
4.695;45;6.3;7.887;7.879;7.928
4.566;45;6.1;7.934;7.932;7.984
5.548;45;7;7.959;7.972;8.024
5.318;45;5.2;7.953;7.974;8.025
5.12;45;5.1;7.948;7.965;8.016
5.149;45;4.8;7.94;7.96;8.009
4.875;45;5.6;7.858;7.88;7.941
4.17;45;5.3;7.658;7.667;7.769
3.089;45;5.5;7.285;7.277;7.403
3.048;45;5;7.024;7.155;7.211
3.317;45;4.5;7.326;7.422;7.327
3.603;45;4.7;7.336;7.5;7.597
4.471;45;5.2;7.156;7.361;7.537
5.242;45;5;6.92;7.127;7.349
5.435;45;5.5;6.691;6.881;7.123
6.627;45;5.5;6.5;6.671;6.904
9.25;45;5.5;6.36;6.507;6.719
9.172;45;5.2;6.27;6.387;6.57
7.023;45;5.5;6.218;6.317;6.476
4.779;45;6;6.2;6.295;6.438
4.334;45;5;6.194;6.305;6.439
5.902;45;4.5;6.185;6.331;6.462
7.265;45;4.8;6.144;6.335;6.473
8.513;45;4.8;6.07;6.293;6.434
9.874;45;4.3;5.987;6.223;6.359
11.852;45;4.4;5.918;6.158;6.279
14.184;45;4.3;1.495;1.308;1.774
17.068;45;4.3;1.504;1.311;1.781
26.346;45;4.8;1.507;1.335;1.804
29.049;45;5;1.466;1.297;1.784
28.169;45;4.5;1.424;1.23;1.736
27.444;45;4.5;1.453;1.204;1.706
26.453;45;4.9;1.536;1.222;1.705
24.478;45;4.6;1.653;1.336;1.789
23.694;45;4.8;1.749;1.444;1.831
20.459;45;4.6;1.806;1.444;1.685
17.167;45;4.7;2.174;1.551;1.476
21.571;45;5.9;2.498;1.817;1.53
25.355;45;5.5;2.894;2.224;1.825
31.882;45;6.4;3.489;3.118;2.5
35.215;45;8;3.872;3.685;3.089
36.483;45;8.1;4.197;4.155;3.792
35.388;45;6.8;4.448;4.454;4.229
38.115;45;8.1;4.649;4.635;4.517
37.548;45;9.1;4.851;4.783;4.727
35.64;45;8.9;5.158;5.002;4.986
37.928;45;9.1;5.782;5.535;5.522
37.571;45;9.2;6.656;6.44;6.342
32.995;45;7.9;7.352;7.307;7.091
32.404;45;8.5;7.69;7.729;7.454
28.695;45;9.1;7.85;7.855;7.52
28.126;45;7.4;7.884;7.866;7.454
25.321;45;7.6;7.698;7.714;7.28
21.504;45;8.3;7.315;7.391;6.975
18.269;45;9.6;6.85;6.926;6.529
13.48;45;10.6;6.453;6.466;6.094
11.387;45;11.1;6.197;6.173;5.826
10.066;45;10.6;5.974;5.95;5.623
9.247;45;12.4;5.834;5.823;5.536
8.724;45;10.8;5.772;5.749;5.493
9.137;45;9.4;5.781;5.737;5.486
7.894;45;10.1;5.771;5.698;5.448
6.362;45;11.4;5.727;5.642;5.393
5.43;45;10.1;5.648;5.557;5.318
4.394;45;9.6;5.581;5.475;5.238
4.124;45;9;5.545;5.399;5.163
2.714;45;8.2;5.56;5.361;5.14
1.904;45;7.7;5.644;5.392;5.205
2.596;43.5;8.5;5.83;5.555;5.385
3.087;45;7.5;6.127;5.868;5.693
2.147;45;6.3;6.491;6.28;6.091
2.798;45;7.5;6.782;6.664;6.491
4.582;45;8.1;6.884;6.852;6.723
5.595;45;6.8;6.796;6.829;6.727
6.434;45;5.8;6.579;6.645;6.554
6.437;45;4.8;6.353;6.42;6.332
4.961;45;4.9;5.757;5.839;5.879
6.176;45;5;6.024;6.039;5.83
7.653;45;5.2;6.223;6.265;6.064
11.424;45;4.2;6.113;6.127;5.89
15.504;45;3.8;5.961;5.928;5.674
18.023;45;2.6;6.005;5.932;5.656
22.599;45;2.3;6.129;6.059;5.721
22.369;45;3.8;6.19;6.165;5.724
19.882;45;4.1;6.102;6.108;5.585
16.829;45;4.5;6.004;5.969;5.384
14.06;45;4.7;6.068;5.929;5.283
11.405;45;6.8;6.411;6.147;5.422
9.399;45;7.4;6.966;6.681;5.895
9.88;45;7.5;7.544;7.383;6.633
9.658;45;7.4;7.895;7.9;7.286
8.406;45;6.6;8.012;8.09;7.622
10.003;45;8.4;8.064;8.148;7.766
10.33;45;8.8;8.12;8.219;7.881
9.968;45;11;8.122;8.274;7.99
7.903;45;11;8.048;8.257;8.071
7.682;45;11.7;7.93;8.171;8.1
6.621;45;12.3;7.827;8.068;8.083
6.593;45;11.5;7.769;7.998;8.056
5.634;45;10.9;7.722;7.947;8.016
5.068;45;10.4;7.649;7.871;7.929
4.148;45;9.5;7.551;7.767;7.796
3.368;45;9.3;7.419;7.615;7.603
2.281;43.5;8.2;7.3;7.467;7.411
1.147;45;8.2;7.188;7.331;7.235
0.194;45;8.1;7.043;7.17;7.041
0.239;45;7.1;6.883;6.999;6.848
2.96;45;8;6.714;6.829;6.671
4.671;45;7.1;6.531;6.647;6.486
5.766;45;7.4;6.346;6.455;6.284
6.445;45;6.8;5.995;6.089;5.942
6.596;45;6.9;5.632;5.729;5.593
4.963;45;5.7;5.411;5.492;5.347
4.296;45;5.1;5.112;5.181;5.042
2.403;45;5.5;4.72;4.78;4.668
2.603;45;6;4.262;4.319;4.285
3.165;45;5.7;3.758;3.84;3.963
3.297;45;5.3;3.248;3.402;3.762
2.234;45;4.6;2.806;3.09;3.699
1.097;45;3.9;2.483;2.938;3.735
1.688;45;3;2.145;2.885;3.82
2.075;45;2.5;2.062;2.973;3.956
1.53;45;2.4;1.963;2.643;2.832
1.304;45;5.4;2.121;2.676;2.774
2.004;45;5.6;2.159;2.606;2.71
1.783;45;5.9;2.198;2.555;2.713
1.181;45;5.8;2.185;2.502;2.695
0.615;45;5.9;2.24;2.581;2.769
0.389;45;6.3;2.924;3.04;2.972
2.014;45;5.1;2.685;2.47;2.636
2.79;45;5;2.362;2.106;2.312
4.21;45;4.7;1.942;1.659;1.877
3.191;45;4.8;1.548;1.256;1.481
3.251;45;4.6;1.301;1.019;1.154
4.767;45;4.2;0.984;0.611;0.716
8.97;45;4;0.724;0.31;0.306
15.692;45;3.6;0.385;0.056;0.119
19.939;45;3.8;0.179;0.081;0.268
19.102;45;3.6;0.068;0.292;0.581
18.603;45;1.2;0.417;0.774;1.267
19.221;45;0;0.959;1.599;2.283
23.119;45;0.9;1.507;2.349;3.035
28.679;45;0;1.941;2.827;3.471
31.159;45;0.2;2.168;3.052;3.677
31.381;45;1.9;2.219;3.133;3.8
28.81;43.75;2.1;2.196;3.131;3.834
27.983;43.75;4.1;2.16;3.094;3.827
30.322;43.75;3.6;2.177;3.074;3.843
33.369;43.75;3.8;2.512;3.225;3.998
35.783;43.75;4.2;2.869;3.488;4.335
34.474;43.75;4.1;3.285;3.864;4.87
35.923;43.75;7.6;3.814;4.372;5.537
36.131;43.75;9.3;4.543;5.007;6.211
37.377;42.5;9.3;5.363;5.661;6.803
37.764;42.5;8.4;6.165;6.328;7.382
35.674;41.25;7.8;6.879;7.01;7.948
33.21;41.25;6.5;7.457;7.614;8.397
30.351;41.25;9.4;7.847;8.064;8.689
30.087;41.25;9.7;8.083;8.366;8.85
29.074;41.25;8.9;8.216;8.548;8.896
27.046;41.25;10.2;8.283;8.637;8.847
27.69;41.25;10.4;8.367;8.689;8.758
33.643;43.75;10.4;8.48;8.758;8.69
35.42;45;10.3;8.606;8.836;8.666
37.627;45;12.7;8.722;8.91;8.677
38.313;43.5;11.5;8.396;8.523;8.368
38.707;43.5;13.3;8.853;9;8.757
39.886;43.5;13.6;8.913;9.021;8.833
40.972;43.5;14;9.23;9.211;9.02
42.093;43.5;12.8;9.344;9.352;9.184
42.301;43.5;12.6;9.254;9.313;9.278
40.707;43.5;11.1;9.164;9.226;9.299
40.721;45;11;9.155;9.212;9.327
40.863;45;11.7;9.178;9.228;9.361
40.243;45;10;9.179;9.213;9.351
39.761;45;11.8;9.156;9.177;9.329
39.307;45;11.8;9.13;9.147;9.33
38.316;45;12.7;9.117;9.119;9.328
36.684;45;13.3;9.098;9.088;9.303
36.237;45;14.3;9.091;9.058;9.262
36.281;45;14.3;9.092;9.026;9.207
37.168;45;15.7;9.086;8.985;9.139
35.893;45;15.2;9.051;8.917;9.041
36.037;45;16.1;8.994;8.824;8.909
35.313;45;15;8.944;8.744;8.79
36.28;45;17.1;8.854;8.638;8.655
34.259;45;17.8;8.723;8.491;8.483
34.467;45;18.9;8.572;8.321;8.288
32.337;45;17.9;8.434;8.163;8.102
33.081;45;17.9;8.344;8.063;7.971
32.378;45;18.8;8.299;8.025;7.905
29.371;45;17.5;8.289;8.032;7.894
27.487;45;16.6;8.301;8.072;7.934
25.653;45;13.9;8.308;8.107;7.98
21.668;43.75;14.2;8.282;8.106;7.996
19.684;43.75;15.6;8.23;8.072;7.98
18.16;43.75;14.3;8.137;7.996;7.923
16.783;45;12.6;7.977;7.855;7.801
13.265;45;12.9;7.761;7.657;7.615
12.853;45;11.7;7.488;7.403;7.37
10.979;45;11.5;6.913;6.856;6.861
10.829;45;10.3;6.595;6.547;6.532
11.12;45;11;6.271;6.236;6.204
11.486;45;9.2;5.969;5.917;5.842
6.879;45;10.1;5.711;5.644;5.514
6.602;45;10.1;5.449;5.383;5.206
5.625;45;8.8;5.146;5.078;4.875
5.904;45;9.1;4.828;4.76;4.557
4.488;45;8.6;4.507;4.438;4.247
3.332;45;7.5;4.242;4.153;3.97
3.644;45;7.4;4.02;3.905;3.717
2.882;45;7.8;2.467;2.529;2.919
3.42;45;7;2.391;2.398;2.699
3.367;45;6.8;2.474;2.398;2.514
2.049;45;6.9;2.527;2.346;2.229
1.212;45;6.1;2.607;2.358;1.984
1.043;45;5.8;2.682;2.38;1.872
0.571;45;4.8;2.659;2.322;1.746
0.028;45;3.2;2.675;2.315;1.704
0.011;45;4.5;2.73;2.322;1.689
0.11;45;3.9;2.858;2.47;1.901
0.82;45;3.5;2.933;2.559;2.052
1.147;45;1.8;2.977;2.638;2.224
1.907;45;3.2;3.017;2.718;2.435
2.563;45;3.3;3.085;2.834;2.619
2.474;45;2.5;3.183;2.966;2.817
2.634;45;2.4;3.204;3.003;2.902
3.398;45;2.8;3.18;2.996;2.918
4.106;45;2.1;3.215;3.042;2.964
4.685;45;1.9;3.284;3.117;3.029
5.013;45;1.8;3.377;3.228;3.111
4.34;45;2.4;3.489;3.368;3.224
3.708;45;3.6;3.599;3.505;3.352
3.154;45;4.5;3.687;3.617;3.471
2.168;45;4.2;3.774;3.733;3.6
1.416;45;4.1;3.917;3.899;3.778
0.723;45;5.1;4.109;4.112;3.99
0.505;45;5;4.308;4.34;4.223
0.447;45;4.3;4.475;4.542;4.439
0.181;45;5.1;4.616;4.707;4.613
